,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
164,7,39,4,0,0,0,1,0,0,0,3,5,1,9
165,7,36,2,0,0,0,1,0,0,0,2,5,1,7
166,2,38,5,0,0,0,1,0,0,0,2,4,1,25
167,5,35,1,0,0,0,1,0,0,0,3,6,1,27
168,2,36,3,1,0,0,0,0,0,0,3,5,1,2
169,6,31,2,0,0,1,0,0,0,0,2,6,1,9
170,7,36,5,0,0,1,0,0,0,0,5,6,1,8
171,5,33,1,0,1,0,0,0,0,0,3,6,1,16
172,4,38,4,0,0,1,0,0,0,0,3,5,1,13
173,4,30,2,1,0,0,0,0,0,0,3,3,2,8
174,6,34,1,1,0,0,0,0,0,0,1,5,2,8
175,6,31,2,0,0,0,0,1,0,0,4,4,2,25
176,7,37,2,0,0,0,0,0,1,0,3,4,1,5
177,3,37,3,1,0,0,0,0,0,0,1,5,1,15
178,6,32,1,0,0,0,1,0,0,0,3,4,2,8
179,7,27,1,0,0,0,0,1,0,0,5,3,1,27
180,2,29,1,0,0,0,0,1,0,0,3,6,2,7
181,4,26,1,0,0,1,0,0,0,0,2,5,2,27
182,7,34,1,0,0,1,0,0,0,0,2,4,2,8
183,7,26,1,1,0,0,0,0,0,0,5,5,1,17
184,7,34,1,1,0,0,0,0,0,0,3,5,2,24
185,7,32,1,0,0,0,1,0,0,0,3,5,1,27
186,6,27,1,0,0,1,0,0,0,0,5,5,1,7
187,7,24,1,0,0,1,0,0,0,0,1,5,2,19
188,5,38,3,0,0,0,1,0,0,0,3,6,1,26
189,6,36,1,0,0,0,0,1,0,0,1,6,2,7
190,5,27,1,0,0,1,0,0,0,0,3,5,1,26
191,6,29,1,1,0,0,0,0,0,0,3,6,1,9
192,4,36,1,0,0,0,0,0,1,0,3,5,2,6
193,5,35,2,0,0,1,0,0,0,0,2,5,1,14
194,6,30,1,0,0,0,1,0,0,0,1,5,2,26
195,6,35,1,0,0,0,0,0,1,0,5,5,2,2
196,7,32,2,0,0,0,1,0,0,0,4,4,2,8
197,7,31,1,0,0,1,1,0,0,0,3,6,2,27
198,2,35,1,0,0,0,1,0,0,0,3,6,2,16
199,5,36,3,0,0,0,0,1,0,0,1,6,2,15
200,6,34,1,0,0,1,0,0,0,0,2,6,2,1
201,2,29,1,0,0,0,0,1,0,0,5,5,2,6
202,7,34,1,0,0,1,0,0,0,0,3,6,2,18
203,4,42,2,0,0,1,0,0,0,0,2,5,5,6
204,7,24,1,0,0,0,0,1,0,0,2,5,2,3
205,3,33,2,1,0,0,0,0,0,0,1,5,2,12
206,6,32,1,0,0,1,0,0,0,0,2,5,1,4
207,3,38,2,0,0,0,0,1,0,0,3,3,2,27
208,6,27,2,0,0,1,0,0,0,0,2,5,2,6
209,6,25,1,0,0,0,0,0,0,1,2,4,2,27
210,6,32,3,0,0,0,0,1,0,0,2,5,2,8
211,4,22,1,0,1,0,0,0,0,0,5,5,5,9
212,7,36,2,0,0,0,0,1,0,0,3,4,2,9
213,4,35,3,0,0,0,0,1,0,0,2,5,2,27
214,6,24,1,0,0,0,0,0,1,0,3,5,2,27
215,3,32,1,0,0,0,0,1,0,0,3,5,1,7
216,7,35,1,0,0,0,1,0,0,0,3,3,2,1
217,6,31,1,0,0,0,0,1,0,0,3,4,1,27
218,7,34,1,0,0,0,1,0,0,0,1,5,2,27
219,3,31,1,0,0,0,0,0,1,0,4,5,2,27
220,4,30,1,0,0,1,0,0,0,0,2,5,2,6
221,6,33,1,0,0,0,1,0,0,0,2,6,1,13
222,7,39,1,0,0,0,0,1,0,0,5,5,2,27
223,5,34,1,0,0,0,1,0,0,0,3,4,1,19
224,7,34,1,0,1,0,0,0,0,0,1,4,1,19
225,6,42,1,0,0,0,0,1,0,0,3,6,1,8
226,7,30,2,0,0,0,0,1,0,0,1,5,2,8
227,4,32,1,0,0,1,0,0,0,0,4,6,1,5
228,4,29,2,1,0,0,0,0,0,0,1,6,1,24
229,5,36,3,0,0,0,0,1,0,0,2,4,1,23
230,5,31,2,0,0,0,0,1,0,0,1,5,1,5
231,3,34,2,0,0,0,0,1,0,0,1,6,1,2
232,4,38,2,0,0,0,0,1,0,0,1,6,1,7
233,7,33,1,0,0,0,0,1,0,0,1,5,1,5
234,2,30,1,0,0,1,0,0,0,0,3,6,2,7
235,4,33,1,0,0,0,1,0,0,0,3,6,1,7
236,7,36,2,0,1,0,0,0,0,0,3,4,1,27
237,7,28,1,1,0,0,0,0,0,0,1,5,1,8
238,4,34,1,0,0,1,0,0,0,0,2,6,1,13
239,5,30,1,1,0,0,0,0,0,0,2,6,1,8
240,7,34,1,0,1,0,0,0,0,0,2,5,2,8
241,7,26,1,0,1,0,0,0,0,0,1,6,2,8
242,4,26,1,1,0,0,0,0,0,0,1,5,1,23
243,5,33,1,1,0,0,0,0,0,0,1,5,5,19
244,7,34,1,0,0,0,0,0,1,0,2,5,2,14
245,4,30,1,0,1,0,0,0,0,0,1,6,1,7
246,6,39,4,0,0,0,1,0,0,0,5,5,1,9
247,6,27,1,0,0,1,0,0,0,0,1,5,1,8
248,5,27,2,0,1,0,0,0,0,0,2,5,1,13
249,7,27,1,0,1,0,0,0,0,0,1,5,2,4
250,6,30,1,0,0,0,1,0,0,0,2,6,1,4
251,5,23,1,0,0,0,0,1,0,0,3,5,2,27
252,6,28,2,0,1,0,0,0,0,0,4,6,1,8
253,6,26,1,1,0,0,0,0,0,0,2,5,1,24
