,human_impact,economy_impact,resources_impact,environment_impact,knowledge,overall_bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
156,12,10,11,16,6,41,5,0,0,0,0,1,0,0,3,6,2,7
157,11,10,12,16,4,41,4,0,0,0,0,1,0,0,1,3,1,27
158,14,12,15,18,7,49,5,0,1,0,0,0,0,0,3,4,2,27
159,15,14,15,22,7,56,5,0,0,1,0,0,0,0,2,4,2,8
161,13,10,12,21,7,48,4,0,0,0,0,1,0,0,3,6,2,17
162,12,11,12,17,6,44,4,0,0,0,0,1,0,0,3,5,1,5
163,13,14,13,20,7,52,5,0,0,0,1,0,0,0,2,5,2,7
165,12,12,12,20,7,48,4,0,0,0,1,0,0,0,2,5,1,7
167,15,11,15,22,5,53,5,0,0,0,1,0,0,0,3,6,1,27
169,11,10,11,14,6,39,4,0,0,1,0,0,0,0,2,6,1,9
171,15,15,15,22,5,57,5,0,1,0,0,0,0,0,3,6,1,16
173,12,9,11,17,4,42,4,1,0,0,0,0,0,0,3,3,2,8
174,14,15,14,24,6,58,5,1,0,0,0,0,0,0,1,5,2,8
175,11,11,11,17,6,43,4,0,0,0,0,1,0,0,4,4,2,25
176,10,12,14,15,7,43,4,0,0,0,0,0,1,0,3,4,1,5
177,11,11,14,21,3,49,3,1,0,0,0,0,0,0,1,5,1,15
178,12,12,11,17,6,44,5,0,0,0,1,0,0,0,3,4,2,8
179,13,11,13,18,7,47,5,0,0,0,0,1,0,0,5,3,1,27
181,13,14,13,18,4,50,5,0,0,1,0,0,0,0,2,5,2,27
182,11,12,10,20,7,46,5,0,0,1,0,0,0,0,2,4,2,8
183,13,13,12,16,7,46,5,1,0,0,0,0,0,0,5,5,1,17
184,13,11,14,23,7,52,5,1,0,0,0,0,0,0,3,5,2,24
185,15,13,15,21,7,54,5,0,0,0,1,0,0,0,3,5,1,27
186,13,10,13,15,6,43,5,0,0,1,0,0,0,0,5,5,1,7
187,14,13,14,16,7,48,5,0,0,1,0,0,0,0,1,5,2,19
188,10,8,13,20,5,44,3,0,0,0,1,0,0,0,3,6,1,26
189,15,15,15,25,6,60,5,0,0,0,0,1,0,0,1,6,2,7
190,12,10,13,16,5,43,5,0,0,1,0,0,0,0,3,5,1,26
191,14,11,14,19,6,49,5,1,0,0,0,0,0,0,3,6,1,9
192,14,13,13,20,4,50,5,0,0,0,0,0,1,0,3,5,2,6
193,11,12,13,21,5,49,4,0,0,1,0,0,0,0,2,5,1,14
194,12,14,13,21,6,52,5,0,0,0,1,0,0,0,1,5,2,26
195,15,15,15,24,6,59,5,0,0,0,0,0,1,0,5,5,2,2
196,10,11,11,17,7,42,4,0,0,0,1,0,0,0,4,4,2,8
197,14,13,14,21,7,53,5,0,0,1,1,0,0,0,3,6,2,27
199,8,10,7,11,5,30,3,0,0,0,0,1,0,0,1,6,2,15
200,15,9,15,21,6,50,5,0,0,1,0,0,0,0,2,6,2,1
202,15,15,15,23,7,58,5,0,0,1,0,0,0,0,3,6,2,18
203,11,8,9,14,4,34,4,0,0,1,0,0,0,0,2,5,5,6
204,13,13,13,17,7,48,5,0,0,0,0,1,0,0,2,5,2,3
205,14,11,11,16,3,43,4,1,0,0,0,0,0,0,1,5,2,12
206,13,12,13,22,6,52,5,0,0,1,0,0,0,0,2,5,1,4
207,10,12,12,18,3,44,4,0,0,0,0,1,0,0,3,3,2,27
208,13,13,14,17,6,49,4,0,0,1,0,0,0,0,2,5,2,6
209,13,10,14,17,6,45,5,0,0,0,0,0,0,1,2,4,2,27
210,11,11,11,14,6,40,3,0,0,0,0,1,0,0,2,5,2,8
211,13,12,13,16,4,46,5,0,1,0,0,0,0,0,5,5,5,9
212,14,13,13,21,7,52,4,0,0,0,0,1,0,0,3,4,2,9
214,14,11,14,14,6,44,5,0,0,0,0,0,1,0,3,5,2,27
215,13,12,13,19,3,48,5,0,0,0,0,1,0,0,3,5,1,7
216,14,15,14,25,7,59,5,0,0,0,1,0,0,0,3,3,2,1
217,14,13,10,19,6,47,5,0,0,0,0,1,0,0,3,4,1,27
218,14,11,14,20,7,50,5,0,0,0,1,0,0,0,1,5,2,27
219,14,11,14,19,3,49,5,0,0,0,0,0,1,0,4,5,2,27
220,12,13,12,24,4,54,5,0,0,1,0,0,0,0,2,5,2,6
221,15,14,15,23,6,57,5,0,0,0,1,0,0,0,2,6,1,13
222,15,12,14,24,7,55,5,0,0,0,0,1,0,0,5,5,2,27
223,12,8,12,18,5,42,5,0,0,0,1,0,0,0,3,4,1,19
224,15,15,15,23,7,58,5,0,1,0,0,0,0,0,1,4,1,19
225,15,13,13,21,6,52,5,0,0,0,0,1,0,0,3,6,1,8
226,10,11,12,19,7,46,4,0,0,0,0,1,0,0,1,5,2,8
227,14,12,15,19,4,50,5,0,0,1,0,0,0,0,4,6,1,5
228,12,13,13,19,4,49,4,1,0,0,0,0,0,0,1,6,1,24
230,10,11,11,14,5,39,4,0,0,0,0,1,0,0,1,5,1,5
231,9,11,11,16,3,40,4,0,0,0,0,1,0,0,1,6,1,2
232,11,11,12,20,4,46,4,0,0,0,0,1,0,0,1,6,1,7
233,15,13,15,22,7,55,5,0,0,0,0,1,0,0,1,5,1,5
235,12,12,11,18,4,45,5,0,0,0,1,0,0,0,3,6,1,7
236,8,11,11,22,7,46,4,0,1,0,0,0,0,0,3,4,1,27
237,12,10,11,15,7,40,5,1,0,0,0,0,0,0,1,5,1,8
238,14,12,12,21,4,50,5,0,0,1,0,0,0,0,2,6,1,13
239,12,12,11,19,5,46,5,1,0,0,0,0,0,0,2,6,1,8
240,13,15,13,25,7,58,5,0,1,0,0,0,0,0,2,5,2,8
241,11,15,12,17,7,48,5,0,1,0,0,0,0,0,1,6,2,8
242,13,13,13,14,4,44,5,1,0,0,0,0,0,0,1,5,1,23
243,13,12,13,18,5,47,5,1,0,0,0,0,0,0,1,5,5,19
244,15,15,15,23,7,58,5,0,0,0,0,0,1,0,2,5,2,14
245,14,14,14,18,4,50,5,0,1,0,0,0,0,0,1,6,1,7
247,13,13,14,16,6,47,5,0,0,1,0,0,0,0,1,5,1,8
248,12,14,13,14,5,45,4,0,1,0,0,0,0,0,2,5,1,13
249,13,14,13,19,7,51,5,0,1,0,0,0,0,0,1,5,2,4
250,15,14,14,19,6,52,5,0,0,0,1,0,0,0,2,6,1,4
251,13,11,13,16,5,45,5,0,0,0,0,1,0,0,3,5,2,27
252,13,14,14,19,6,52,4,0,1,0,0,0,0,0,4,6,1,8
253,12,10,11,16,6,42,5,1,0,0,0,0,0,0,2,5,1,24
254,14,13,14,21,7,53,5,0,1,0,0,0,0,0,2,6,1,8
255,12,13,12,17,7,47,5,1,0,0,0,0,0,0,1,3,5,12
256,11,12,12,13,7,41,5,1,0,0,0,0,0,0,3,6,2,17
258,13,12,12,20,7,49,5,1,0,0,0,0,0,0,3,5,1,7
259,11,12,11,18,5,45,4,0,0,0,0,0,1,0,5,6,2,27
260,14,14,14,22,6,55,5,0,0,1,0,0,0,0,5,6,1,8
261,14,11,13,19,6,48,5,1,0,0,0,0,0,0,2,4,2,24
262,12,13,12,17,6,47,5,0,0,0,1,0,0,0,4,5,2,8
263,12,13,12,18,5,47,4,0,0,0,0,0,1,0,3,6,2,27
265,9,12,10,18,7,43,4,0,0,0,0,1,0,0,3,5,1,7
266,14,13,14,20,5,52,5,0,0,0,0,1,0,0,1,5,1,27
267,12,12,13,17,7,47,4,1,0,0,0,0,0,0,2,5,1,24
268,13,10,12,16,7,42,5,0,0,0,0,0,1,0,5,5,2,27
269,14,13,14,18,4,50,5,0,0,0,0,1,0,0,5,5,2,14
270,12,12,12,16,5,44,4,0,0,0,1,0,0,0,2,5,2,19
271,12,12,11,16,7,43,4,0,0,0,0,1,0,0,3,5,2,8
272,10,11,11,15,6,40,4,0,1,0,0,0,0,0,3,5,1,24
273,13,11,10,13,6,39,5,0,1,0,0,0,0,0,1,5,1,14
274,14,12,12,20,3,49,5,0,0,0,0,0,1,0,5,5,1,27
275,15,13,13,21,6,52,5,0,0,0,0,1,0,0,3,6,2,8
276,12,11,12,17,5,44,4,0,0,1,0,0,0,0,1,6,1,7
277,9,8,7,11,7,30,3,0,0,0,0,1,0,0,5,5,1,9
278,11,12,12,18,6,46,5,0,0,0,1,0,0,0,2,6,2,8
280,15,14,15,17,7,51,5,0,1,0,0,0,0,0,2,5,1,11
281,14,14,14,16,5,49,5,0,0,1,0,0,0,0,4,4,2,3
282,7,9,7,8,6,28,1,0,0,1,0,0,0,0,5,4,2,8
284,15,15,15,21,7,56,5,0,0,0,1,0,0,0,3,4,1,12
285,11,11,8,9,7,32,3,1,0,0,0,0,0,0,5,5,1,8
286,15,11,15,22,7,53,5,0,0,0,0,1,0,0,5,5,1,13
