,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
240,6,34,1,0,1,0,0,0,0,0,2,5,2,8
241,6,26,1,0,1,0,0,0,0,0,1,6,2,8
242,3,26,1,1,0,0,0,0,0,0,1,5,1,23
243,4,33,1,1,0,0,0,0,0,0,1,5,5,19
244,6,34,1,0,0,0,0,0,1,0,2,5,2,14
245,5,30,1,0,1,0,0,0,0,0,1,6,1,7
246,5,39,4,0,0,0,1,0,0,0,5,5,1,9
247,5,27,1,0,0,1,0,0,0,0,1,5,1,8
248,4,27,2,0,1,0,0,0,0,0,2,5,1,13
249,6,27,1,0,1,0,0,0,0,0,1,5,2,4
250,5,30,1,0,0,0,1,0,0,0,2,6,1,4
251,4,23,1,0,0,0,0,1,0,0,3,5,2,27
252,5,28,2,0,1,0,0,0,0,0,4,6,1,8
253,5,26,1,1,0,0,0,0,0,0,2,5,1,24
254,6,31,1,0,1,0,0,0,0,0,2,6,1,8
255,6,23,1,1,0,0,0,0,0,0,1,3,5,12
256,6,19,1,1,0,0,0,0,0,0,3,6,2,17
257,1,31,2,0,0,1,0,0,0,0,1,5,1,19
258,6,33,1,1,0,0,0,0,0,0,3,5,1,7
259,5,31,2,0,0,0,0,0,1,0,5,6,2,27
260,5,31,1,0,0,1,0,0,0,0,5,6,1,8
261,5,32,1,1,0,0,0,0,0,0,2,4,2,24
262,5,23,1,0,0,0,1,0,0,0,4,5,2,8
263,4,35,2,0,0,0,0,0,1,0,3,6,2,27
264,6,31,4,0,0,1,0,0,0,0,5,5,2,8
265,6,33,2,0,0,0,0,1,0,0,3,5,1,7
266,4,30,1,0,0,0,0,1,0,0,1,5,1,27
267,6,25,2,1,0,0,0,0,0,0,2,5,1,24
268,6,30,1,0,0,0,0,0,1,0,5,5,2,27
269,4,28,1,0,0,0,0,1,0,0,5,5,2,14
270,4,32,2,0,0,0,1,0,0,0,2,5,2,19
271,6,33,2,0,0,0,0,1,0,0,3,5,2,8
272,5,32,2,0,1,0,0,0,0,0,3,5,1,24
273,5,23,1,0,1,0,0,0,0,0,1,5,1,14
274,4,31,1,0,0,0,0,0,1,0,5,5,1,27
275,5,32,1,0,0,0,0,1,0,0,3,6,2,8
